vacina,doenca,idade inicial meses,idade final meses,idade inicial anos,idade final ano,doses,reforco,dose_unica,intervalo,fase da vida,observacao
Hepatite B (Criança),Hepatite B; Hepatite D,0,N/A,N/A,N/A,1,Não,Não,N/A,Criança,
BCG (Criança),Tuberculose; Hanseníase,0,N/A,N/A,N/A,1,Não,Sim,N/A,Criança,
Penta (DTP+Hib+HB) (Criança) - 1a dose,Difteria; tétano; coqueluche; infecções por H. influenzae tipo b; hepatite B,2,N/A,N/A,N/A,3,Não,Não,60,Criança,
VIP (Poliomielite inativada) (Criança) - 1a dose,Poliomielite (paralisia infantil),2,N/A,N/A,N/A,3,Não,Não,60,Criança,
Pneumocócica 10-valente (Criança) - 1a dose,Doenças pneumocócicas invasivas,2,N/A,N/A,N/A,2,Não,Não,60,Criança,
Rotavírus humano (Criança) - 1a dose,Gastrenterite viral (diarreia; vômito),2,N/A,N/A,N/A,2,Não,Não,60,Criança,"Atenção aos prazos. A 1ª dose deve ser aplicada entre 1 mês 15 dias e 11 meses 29 dias de idade; a 2ª dose entre 3 meses 15 dias e 23 meses 29 dias de idade; intervalo mínimo de 30 dias entre as doses. Caso a 1ª dose não seja recebida no período indicado, perde-se a oportunidade de vacinação contra o rotavírus."
Meningocócica C (Criança) - 1a dose,Doenças meningocócicas (meningite; encefalite; meningoencefalite) pelo tipo C,3,N/A,N/A,N/A,2,Não,Não,60,Criança,
Penta (DTP+Hib+HB) (Criança) - 2a dose,Difteria; tétano; coqueluche; infecções por H. influenzae tipo b; hepatite B,4,N/A,N/A,N/A,3,Não,Não,60,Criança,
VIP (Poliomielite inativada) (Criança) - 2a dose,Poliomielite (paralisia infantil),4,N/A,N/A,N/A,3,Não,Não,60,Criança,
Pneumocócica 10-valente (Criança) - 2a dose,Doenças pneumocócicas invasivas,4,N/A,N/A,N/A,2,Não,Não,60,Criança,
Rotavírus humano (Criança) - 2a dose,Gastrenterite viral (diarreia; vômito),4,N/A,N/A,N/A,2,Não,Não,60,Criança,"Atenção aos prazos. A 1ª dose deve ser aplicada entre 1 mês 15 dias e 11 meses 29 dias de idade; a 2ª dose entre 3 meses 15 dias e 23 meses 29 dias de idade; intervalo mínimo de 30 dias entre as doses. Caso a 1ª dose não seja recebida no período indicado, perde-se a oportunidade de vacinação contra o rotavírus."
Meningocócica C (Criança) - 2a dose,Doenças meningocócicas (meningite; encefalite; meningoencefalite) pelo tipo C,5,N/A,N/A,N/A,2,Não,Não,60,Criança,
Penta (DTP+Hib+HB) (Criança) - 3a dose,Difteria; tétano; coqueluche; infecções por H. influenzae tipo b; hepatite B,6,N/A,N/A,N/A,3,Não,Não,60,Criança,
VIP (Poliomielite inativada) (Criança) - 3a dose,Poliomielite (paralisia infantil),6,N/A,N/A,N/A,3,Não,Não,60,Criança,
Influenza trivalente (Criança) - 1a dose,Influenza (gripe),6,N/A,N/A,N/A,2,Não,Não,30,Criança,Crianças de 6 meses a menores de 6 anos devem ser vacinadas todo ano. Quem vai receber a vacina pela primeira vez deve tomar 2 doses com 30 dias de intervalo. As que já tomaram em anos anteriores recebem apenas 1 dose por ano.
Covid-19 (Criança) - 1a dose,Formas graves da covid-19 e óbitos,6,N/A,N/A,N/A,2,Não,Não,30,Criança,"Recomenda-se 2 doses (aos 6 e 7 meses, vacina Spikevax) ou 3 doses (aos 6, 7 e 9 meses, vacina Comirnaty). Criança sem esquema completo até 9 meses de idade, vacinar até 4 anos 11 meses 29 dias, com intervalo mínimo de 4 semanas entre 1ª e 2ª dose e 8 semanas entre 2ª e 3ª dose. Para imunocomprometidos, 3 doses + doses periódicas de 6/6 meses até 4 anos 11 meses 29 dias de idade. "
